id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
313137,Apartamento centro de Valencia.,1610077,Alberto,L'EIXAMPLE,RUSSAFA,39.46359,-0.37359,Entire home/apt,54,5,73,2024-08-11,0.55,1,307,7,VT-42188-V
323609,"Beach Villa,  patio and bbq. Cabanyal",1332880,Jaime,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.466515,-0.325345,Entire home/apt,172,3,35,2024-08-20,0.24,2,33,9,
346695,Apartment in the historic center  WiFi,1757298,Juan José,CIUTAT VELLA,EL CARME,39.47917,-0.377,Entire home/apt,109,2,627,2024-09-10,4.12,1,255,69,VT-36506-V
361016,PANORAMIC,1145189,Maria Mercedes,EXTRAMURS,ARRANCAPINS,39.46051,-0.38512,Entire home/apt,118,2,251,2024-08-26,1.66,4,138,26,VT-37130-V
364517,City of Arts with private bath,1841798,Marta,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.4546,-0.36013,Private room,75,3,24,2024-05-04,0.18,1,58,4,
411385,"Céntrico, elegante y tranquilo. Ideal familias.",2048040,Laura,CIUTAT VELLA,EL PILAR,39.47252,-0.38299,Entire home/apt,145,3,245,2024-09-07,1.65,1,81,30,VT-37205-V
421405,"Unbeatable location, your own bath",2095681,Silvia,CIUTAT VELLA,EL MERCAT,39.47381,-0.37669,Private room,43,2,354,2024-09-12,2.36,2,125,48,
447232,LOCATION•NEW•QUIET•CHIC•METRO•IDEAL,211991268,ValenciaGUEST,CIUTAT VELLA,EL MERCAT,39.47165,-0.37834,Entire home/apt,264,1,275,2024-02-09,1.84,83,15,7,
455833,apartment forehead station of ave.,2265891,Maite,EXTRAMURS,ARRANCAPINS,39.46018,-0.38432,Entire home/apt,60,2,261,2020-08-18,1.77,1,1,0,
467151,Cute Apartment Studio Wifi + pool + pádel + sauna,2319737,Javier,BENICALAP,BENICALAP,39.49225,-0.40044,Entire home/apt,94,3,83,2024-09-16,0.57,1,159,13,
472858,Habitación individual bonita y luminosa. Valencia,2345188,Joana,ALGIROS,LA CARRASCA,39.47574,-0.34483,Private room,32,2,43,2024-06-08,0.39,3,259,9,
476415,Sun Apartment Valencia  @  With Balcony & Parking,2361433,Raúl,CAMINS AL GRAU,PENYA-ROJA,39.46066,-0.35361,Entire home/apt,147,2,34,2024-08-10,0.38,2,152,8,VT-40428-V
478752,ArtApartment Ready to Live/pool/Luxury Residential,2370939,María,CAMPANAR,SANT PAU,39.49038,-0.40433,Entire home/apt,236,4,240,2024-08-18,1.60,1,305,15,VT-39935-V
491152,Gorgeus apartment in Valencia,2345188,Joana,ALGIROS,LA CARRASCA,39.47572,-0.34406,Private room,33,2,27,2022-10-23,0.19,3,319,0,
524523,"Best Location: Mestalla, Single Bed, Free Coffee",140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47639,-0.36467,Private room,36,2,409,2024-08-28,2.77,3,60,44,
530706,Céntrico y acogedor apartamento new WIFI,2605658,Carolina,CIUTAT VELLA,EL PILAR,39.47367,-0.38179,Entire home/apt,111,1,128,2024-08-29,0.86,2,220,23,
538964,CASA  EN LA PLAYA DE VALENCIA,2647255,Jose Luis,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.473778,-0.328224,Entire home/apt,140,11,29,2024-09-17,0.47,1,357,12,
547590,CIUDAD DE LAS CIENCIAS CON PARKING PRIVADO & AC,2691959,Guillermo,CAMINS AL GRAU,PENYA-ROJA,39.45842,-0.34611,Entire home/apt,133,3,44,2024-06-30,0.32,1,56,2,
556620,Cozy room in the center,2736688,Begoña,LA SAIDIA,TRINITAT,39.48482805490139,-0.3685763429131575,Private room,38,3,182,2024-09-11,1.45,3,68,25,
579273,Mercat Central Apartment,2849128,Ferran,CIUTAT VELLA,EL PILAR,39.47227,-0.38272,Entire home/apt,70,2,425,2024-09-15,3.16,1,224,69,VT-46067-V
595233,Valencia desing loft lake view. Bikes free parking,2940808,Juan,CAMPANAR,SANT PAU,39.47451,-0.4087,Entire home/apt,80,2,417,2024-09-13,2.98,1,268,49,VT-44610-V
633762,Apto Loft Torres de Serranos,3155089,Francisco,CIUTAT VELLA,LA SEU,39.4787,-0.37599,Entire home/apt,184,1,243,2024-08-19,1.78,12,294,17,V-33840-V
643644,Charming flat in Ruzafa,3218281,Salvo,L'EIXAMPLE,RUSSAFA,39.46052,-0.37771,Entire home/apt,,2,74,2024-08-30,0.53,1,0,9,VT-38102-V
657794,NewWave Russafa Haven,1145189,Maria Mercedes,QUATRE CARRERES,EN CORTS,39.45585,-0.37265,Entire home/apt,118,2,170,2024-09-01,1.16,4,214,10,
663047,Wonderful Penthouse. Parking. MONTHLY RENTALS,3095064,Veronica,CAMINS AL GRAU,PENYA-ROJA,39.46358,-0.35514,Entire home/apt,201,1,33,2024-07-15,0.32,1,160,10,
672551,Centro Ciudad 5 Habitaciones 250m2.,3410950,Raquel,CIUTAT VELLA,EL PILAR,39.47409,-0.38381,Entire home/apt,364,2,319,2024-09-17,2.23,1,292,45,VT-37977-V
681002,Ciudad de las Ciencias! Habitacion,3467642,Iriana,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45875,-0.35764,Private room,31,2,401,2024-09-07,2.87,1,34,39,
681925,"Very Central, Stunning Views, Sunny Terrace, Wifi!",3462415,Manuel,CIUTAT VELLA,EL MERCAT,39.47321,-0.38044,Entire home/apt,128,2,877,2024-09-01,6.02,1,236,68,VT-38165-V
682219,FALLA Apartment wifi & terrace next,219476,Antonio,LA SAIDIA,SANT ANTONI,39.486785888671875,-0.37511900067329407,Entire home/apt,44,5,68,2024-08-07,0.49,4,209,2,VT-31465-V
688130,Beautiful 4 bedroom appartment WIFI,3512981,Mari Carmen,EL PLA DEL REAL,MESTALLA,39.47291,-0.35376,Entire home/apt,261,4,79,2024-03-21,0.55,1,312,2,
698779,"Bed&breakfast in Valencia.""RUSSAFA""",2747343,Rosa,L'EIXAMPLE,RUSSAFA,39.46163,-0.3718,Private room,69,1,87,2024-06-25,0.62,1,124,18,
714886,Golf course and beach flat+wifi,3701192,Adriana,POBLATS DEL SUD,EL PERELLONET,39.30483,-0.29189,Entire home/apt,93,2,130,2024-01-05,0.93,4,342,1,VT-33997-V
716081,Ático muy luminoso en Ruzafa,3690047,Mompo Gimeno Asociados Sl,L'EIXAMPLE,RUSSAFA,39.46005,-0.37687,Entire home/apt,117,60,29,2024-06-10,0.26,5,231,5,
720307,Bonito apartamento en pleno centro,3717753,Paul,EXTRAMURS,EL BOTANIC,39.47573,-0.38542,Entire home/apt,,2,314,2024-09-15,2.30,1,63,41,VT-40916-V
724380,Ático Abuhardillado del Siglo XVI con Terraza,3744401,Jose,CIUTAT VELLA,EL MERCAT,39.47436,-0.3809,Entire home/apt,125,4,154,2024-08-20,1.35,2,31,23,
760857,Cozy rooftop flat with garden terrace.,372326,Sandro And BB,CIUTAT VELLA,EL MERCAT,39.47305,-0.38039,Entire home/apt,83,28,156,2024-09-02,1.27,2,275,16,
772380,Charming loft in Plaza Redonda -1,4075514,Ana,CIUTAT VELLA,EL MERCAT,39.47391,-0.37675,Entire home/apt,86,3,324,2024-09-16,2.30,6,129,51,VT-34649-V
776819,Our Sunny Penthouse. Stay!!!,4096931,Jose,CIUTAT VELLA,EL CARME,39.47668,-0.37992,Entire home/apt,110,3,422,2024-08-30,2.98,4,306,35,
782942,Charming loft in Plaza Redonda -2,4075514,Ana,CIUTAT VELLA,EL MERCAT,39.47384,-0.37677,Entire home/apt,86,3,313,2024-09-13,2.26,6,190,58,VT-34650-V
852911,Private room with own bathroom,3813918,Guillermo,L'EIXAMPLE,RUSSAFA,39.45832,-0.37453,Private room,25,18,20,2015-07-08,0.16,1,148,0,
853840,Sun Studio City Center @ Top Location-Nice Balcony,2361433,Raúl,CIUTAT VELLA,EL MERCAT,39.47234,-0.3775,Entire home/apt,113,2,105,2024-05-08,0.90,2,112,6,VT-38806-V
864794,Apartamento en el corazón Valencia,3964897,Ricardo,CIUTAT VELLA,LA XEREA,39.4715,-0.37196,Entire home/apt,50,1,59,2024-09-16,2.59,1,235,30,
870353,25' walking to downtown - comfy & sunny flat -WiFi,4586701,Fátima,PATRAIX,FAVARA,39.45543,-0.39485,Entire home/apt,73,5,50,2024-07-24,0.36,1,13,8,VT-34118-V E
880307,SUNNY VALENCIA,4655487,Oscar,JESUS,LA RAIOSA,39.45987,-0.38732,Entire home/apt,50,21,123,2024-08-17,0.88,1,48,12,
896304,Penthouse on the beach//wifi,2570450,Morten,POBLATS DEL SUD,EL PERELLONET,39.29884,-0.28764,Entire home/apt,95,2,238,2024-09-14,1.71,1,80,19,
909800,I rent luxury flat Valencia(Spain),4877564,Andrea,POBLATS MARITIMS,EL GRAU,39.46157,-0.33124,Entire home/apt,40,360,0,,,1,365,0,
923390,NOMAD Flats 2 bdroom+wifi,4966350,Avatar Valencia,CIUTAT VELLA,SANT FRANCESC,39.46951,-0.37527,Entire home/apt,135,3,329,2024-09-10,2.34,8,298,55,VT-41254-V
927457,Nuevo Corazón del Centro Loft+WIFI,4356813,Laura Y Lucia,CIUTAT VELLA,SANT FRANCESC,39.46949,-0.37353,Entire home/apt,89,3,412,2024-08-28,2.93,1,76,31,VT-38490-V
929005,sunny single bedroom city centre,5001171,Tony,L'EIXAMPLE,RUSSAFA,39.46041,-0.37373,Private room,40,2,78,2024-07-07,0.75,1,293,5,
938734,A centric loft,4708020,Happy Apartments Valencia,CIUTAT VELLA,SANT FRANCESC,39.46894,-0.37549,Entire home/apt,70,2,34,2024-09-16,0.25,8,283,5,
940297,Unique apartament in the heart of valencia,4708020,Happy Apartments Valencia,CIUTAT VELLA,EL MERCAT,39.47343,-0.37604,Entire home/apt,141,2,14,2019-12-01,0.10,8,348,0,
951216,Cozy apartment in Valencia center,5160585,Virginia,CIUTAT VELLA,EL PILAR,39.4731,-0.38344,Private room,40,3,14,2024-07-29,0.10,1,70,11,
955937,design loft+wifi+sunny terrace,5194762,Sergio,CAMPANAR,SANT PAU,39.47578,-0.39926,Entire home/apt,199,2,151,2021-08-04,1.08,1,1,0,VT-38235-V
959190,Primera línea de playa cerca de Valencia,5220094,Pilar,POBLATS DEL SUD,EL SALER,39.35203,-0.32259,Entire home/apt,125,7,9,2024-09-01,0.07,1,140,5,VT-40126-V
960147,Your home in the center of Valencia,4678441,Manuel,CIUTAT VELLA,EL CARME,39.47753,-0.37966,Entire home/apt,90,2,286,2024-08-28,2.09,1,280,38,VT-37416-V
969359,"N1 Puerto,Playa,Ciudad Artes yCienc",5128253,Yulia,POBLATS MARITIMS,NATZARET,39.44833,-0.33492,Entire home/apt,73,2,316,2024-09-08,2.26,2,60,34,
970809,luxury apartment in the city center,5305009,Javier,CIUTAT VELLA,EL MERCAT,39.47376,-0.37578,Entire home/apt,120,4,49,2023-06-12,0.37,2,275,0,VT-37899-V
983548,Flat next to Train Station & Subway,1120386,Ignacio,EXTRAMURS,LA ROQUETA,39.46527,-0.3801,Entire home/apt,106,3,817,2024-09-02,5.83,1,338,56,VT-36327-V
993282,1 Bdr. APARTMENT CENTER VALENCIA,5456718,Carla,EXTRAMURS,LA ROQUETA,39.46614,-0.38086,Entire home/apt,105,3,152,2024-09-01,1.15,1,149,39,
995182,ART GALLERY APARTMENT IN THE CENTER,5318547,Serafin Y Maribel,CIUTAT VELLA,SANT FRANCESC,39.47062,-0.37194,Entire home/apt,219,3,326,2024-09-11,2.38,1,214,50,VT-36511-V
1043431,Ático con terrazas en el carmen,3269596,Victor,CIUTAT VELLA,EL MERCAT,39.47344,-0.37836,Entire home/apt,123,5,454,2024-09-11,3.30,2,209,36,VT-36806-V
1076302,Cozy charming apartment in Valencia,2016540,Cris,EXTRAMURS,LA PETXINA,39.47685,-0.39348,Entire home/apt,120,3,34,2024-08-25,0.25,1,236,5,
1076404,Centric and cozy apartment,2869421,Miguel Ángel,EXTRAMURS,ARRANCAPINS,39.46771240234375,-0.3846670091152191,Entire home/apt,113,2,273,2024-09-15,1.97,1,315,34,VT-42121-V
1103471,Apto. Benimaclet con Wifi,6060427,Mº José,BENIMACLET,BENIMACLET,39.48519,-0.36202,Entire home/apt,60,2,142,2024-09-05,1.03,1,2,25,VT-32844-V
1105407,Charming house in the center,6085420,Pepa,L'EIXAMPLE,RUSSAFA,39.46065,-0.37007,Entire home/apt,150,2,88,2024-09-16,0.85,1,9,16,VT-40709-V
1105703,MARQUÉS DEL TÚRIA: FLAT IN TOWN,6071434,Mª Carmen,L'EIXAMPLE,LA GRAN VIA,39.46516,-0.36888,Entire home/apt,,4,7,2014-08-29,0.05,1,2,0,
1114098,"Sunny, Cute Apt Historic Centre 35e",1512611,Lula & Luna,CIUTAT VELLA,EL MERCAT,39.47355,-0.38043,Entire home/apt,99,2,98,2024-08-25,0.71,3,4,50,
1133635,Planta Baja en Unifamiliar  junto al mar,6218943,Jordi,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46959,-0.32917,Entire home/apt,80,2,106,2024-09-04,0.95,1,39,13,VT-39343-V
1145001,"Big apartment in Valencia, Spain",6278049,Lourdes,L'EIXAMPLE,RUSSAFA,39.46043,-0.37314,Entire home/apt,77,2,132,2024-09-17,1.07,1,196,36,
1147656,FAMILY-GOOD VIEWS-SW.POOL-FREE WIFI,6258307,Isabel,CAMPANAR,SANT PAU,39.489837646484375,-0.4043799936771393,Entire home/apt,150,5,234,2024-09-08,1.72,1,163,22,VT-38032-v
1191980,ROOM PERFECT AND BETTER COMFORT,6516174,Grego,L'EIXAMPLE,RUSSAFA,39.46085,-0.37638,Private room,53,5,262,2024-07-30,1.91,3,355,2,
1220708,BEST DEAL TO STAY IN VALENCIA WIFI!,3264741,Clara,LA SAIDIA,SANT ANTONI,39.49138,-0.37427,Entire home/apt,86,14,210,2024-09-01,1.55,1,95,10,
1231911,Sunny flat near uni + Malvarrosa beach,3701192,Adriana,POBLATS MARITIMS,BETERO,39.47316,-0.33541,Entire home/apt,150,2,56,2024-08-26,0.41,4,32,3,VT-33995-V
1232560,Acogedor ático con altillo en Ruzafa,5955237,Jose Luis,L'EIXAMPLE,RUSSAFA,39.46312,-0.37694,Entire home/apt,118,1,159,2024-08-17,1.17,2,68,27,VT-38064-V
1254792,Flat with terrace in the city centre,6835647,Carlos,EXTRAMURS,LA ROQUETA,39.46713,-0.38027,Entire home/apt,192,3,44,2024-09-02,0.36,4,135,35,
1263619,Open White Loft by CuldeSac,6879501,Mónica,CIUTAT VELLA,EL PILAR,39.47109,-0.38169,Entire home/apt,114,3,145,2024-08-11,1.07,1,88,23,
1308898,BUBBLE CARO FLAT- City Center- :D,7115413,Elena,CIUTAT VELLA,EL CARME,39.48005,-0.38036,Entire home/apt,123,2,415,2024-08-31,3.07,1,290,46,VT-36275-V
1329697,Penthouse in Valencia-Benimaclet,7214346,Maite,BENIMACLET,BENIMACLET,39.48435,-0.35948,Entire home/apt,108,2,263,2024-08-30,2.07,1,327,23,
1331704,Trendy apartment in down town. WiFi,5824416,F.,L'EIXAMPLE,RUSSAFA,39.46139,-0.37657,Entire home/apt,51,2,185,2024-06-30,1.36,1,12,23,VT-44536-V
1381562,"Céntrico, moderno y a buen precio",7481013,Jesus,CIUTAT VELLA,EL CARME,39.47938,-0.3816,Entire home/apt,122,3,349,2024-09-13,2.68,1,317,40,VT-45016-V
1391621,Pequeño Studio luminoso,7523691,Elena,EXTRAMURS,ARRANCAPINS,39.46842,-0.38674,Entire home/apt,53,5,51,2022-12-06,0.42,1,78,0,
1400077,Central flat with sunny terrace,727214,Meike,CIUTAT VELLA,EL CARME,39.47837,-0.37671,Entire home/apt,95,7,195,2024-08-17,1.47,1,55,23,VT-46600-V
1435971,Apartamento pleno centro,3419118,Ana Amaya,CIUTAT VELLA,LA SEU,39.47701,-0.37513,Entire home/apt,,28,13,2024-08-18,0.10,1,27,6,
1443990,Apartamento Botanico - Torres Quart,7753366,Jose,EXTRAMURS,EL BOTANIC,39.47932,-0.38506,Entire home/apt,95,3,567,2024-08-28,4.20,1,98,52,
1460051,BEAUTIFUL 2 BEDROOM FLAT WITH WIFI,6871400,Montse,L'EIXAMPLE,LA GRAN VIA,39.46449,-0.36583,Entire home/apt,117,3,226,2024-09-15,1.68,1,240,50,44796795V
1470620,Nordic Stay Valencia 5 - Joaquin Sorolla station,3828810,Tom,JESUS,LA RAIOSA,39.45716,-0.38505,Entire home/apt,88,7,48,2024-08-30,0.36,1,232,14,VT-46325-V
1538774,Loft Torres de Serranos,8204317,Carlos,CIUTAT VELLA,EL CARME,39.47973,-0.37538,Entire home/apt,160,4,217,2024-09-03,1.91,1,45,27,VT-38036-V
1587310,Single room in Benimaclet,8286196,Elena,BENIMACLET,BENIMACLET,39.48643,-0.36135,Private room,25,2,67,2024-06-28,0.62,1,31,17,
1639276,Main Central Station Apartment,8704211,Francisco Javier,EXTRAMURS,LA ROQUETA,39.46665,-0.37949,Entire home/apt,107,3,165,2024-09-02,1.25,2,280,23,VT-41697-V
1658018,Single Room 1 Valencia Beach,8788278,Laura,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46878,-0.33275,Private room,24,3,113,2024-08-25,0.86,3,159,8,
1702630,Charming house next to the beach,8988014,Emilio Y Sara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46594,-0.3318,Entire home/apt,105,3,115,2023-11-27,0.90,7,152,1,VT-36805-V
1713200,Renovado Estudio privado en la playa,8987701,Adolfo Y Sara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46639,-0.33211,Entire home/apt,155,2,24,2024-08-21,0.19,4,74,1,VT-36716-V
1715466,Valencia Close to the beach,9046020,David,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.470970153808594,-0.3310120105743408,Entire home/apt,105,1,158,2024-08-27,1.23,2,140,32,VT-38167-V
1740732,"CLEANING-DISINFECTION, NICE APARTAMENT  VALENCIA",8885763,Miguel Angel,L'OLIVERETA,NOU MOLES,39.4721,-0.40384,Entire home/apt,100,7,51,2024-07-14,0.39,1,265,1,VT-38034-V
1740954,Valencia's  apartment 3 bedroom,3690047,Mompo Gimeno Asociados Sl,L'EIXAMPLE,RUSSAFA,39.45926,-0.37637,Entire home/apt,125,60,57,2024-06-12,0.44,5,203,4,
1758184,cozy loft patio+pool +wifi,9244329,Jo,L'EIXAMPLE,RUSSAFA,39.463,-0.36836,Entire home/apt,134,4,302,2024-09-02,2.28,4,136,9,VT-36177-V
1810684,Valencia with wifi in the center,3197976,Eduard,L'EIXAMPLE,RUSSAFA,39.4599,-0.37549,Entire home/apt,107,3,291,2024-09-16,2.28,2,102,19,
1830872,Beautiful House,9575983,Alejandro,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46482,-0.32747,Entire home/apt,275,2,284,2024-08-27,2.18,1,310,15,VT-33277-V
1838698,Fantastic Family House,9610872,Jose,L'OLIVERETA,TRES FORQUES,39.46727,-0.40433,Entire home/apt,70,5,63,2024-08-31,0.48,1,73,6,
1842000,Luxury air-con 3 bed apt. Arts and Sciences area,9222108,Diana,CAMINS AL GRAU,PENYA-ROJA,39.45848846435547,-0.34858399629592896,Entire home/apt,137,3,59,2024-09-18,1.01,1,298,24,
1842193,"Estudio, lugar singular + wiffi, a pie calle",9244329,Jo,L'EIXAMPLE,RUSSAFA,39.46163,-0.36955,Entire home/apt,85,3,58,2023-08-22,0.66,4,128,0,VT-36177-V
1855456,4ROOM FLAT NEAR BEACH & UNIV.+WIFI,3701192,Adriana,ALGIROS,L'ILLA PERDUDA,39.47179,-0.34079,Entire home/apt,,2,153,2024-08-31,1.16,4,0,5,VT-33996-V
1895636,Luxury Attic Old town Valencia,9609511,James,CIUTAT VELLA,LA XEREA,39.47343,-0.37101,Entire home/apt,146,30,0,,,1,288,0,
1947238,"RENTAL APARTMENT IN RUZAFA, VALENCIA",2037083,Isabel,L'EIXAMPLE,RUSSAFA,39.46304,-0.37031,Entire home/apt,119,28,49,2023-09-23,0.40,9,3,1,Registro Turístico nº VT-34114-V
1970631,Doble room well connected near Bioparc,2814251,Carlos,L'OLIVERETA,SOTERNES,39.47141857540364,-0.405359183583357,Private room,29,2,209,2024-08-30,2.83,2,324,42,
1991246,HABITACIÓN AMPLIA DOBLE (double room),8788278,Laura,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46837615966797,-0.3317129909992218,Private room,50,2,69,2024-08-22,0.54,3,74,17,
2000011,Precioso Loft en Valencia,1134386,Yolanda,EXTRAMURS,LA PETXINA,39.47494,-0.38946,Entire home/apt,96,3,14,2024-06-24,0.49,1,88,3,
2053439,Luxury apartment Valencia Center,10172001,Jose,CIUTAT VELLA,LA XEREA,39.47625,-0.37203,Entire home/apt,130,3,253,2024-09-08,2.20,1,296,32,
2060665,"Velero Lujo, 4 camarotes, 3 baños, Marina Valencia",10546463,Oscar,POBLATS MARITIMS,EL GRAU,39.461847019237474,-0.3297404088538649,Entire home/apt,256,1,10,2024-03-17,0.11,1,358,1,6va30708
2103536,Penthouse with terrace and pool,10725621,Erika,CAMINS AL GRAU,AIORA,39.46336,-0.33761,Entire home/apt,250,3,173,2024-08-31,1.43,1,326,21,
2146923,Great 3 bd flat historical centre,10959379,Victoria,CIUTAT VELLA,EL CARME,39.47798,-0.38155,Entire home/apt,132,1,703,2024-09-05,5.43,5,106,54,VT32878V
2211787,NEW COSY LOFT IN HEART OF VALENCIA,9855565,Maria,EXTRAMURS,ARRANCAPINS,39.46609,-0.38208,Entire home/apt,71,3,520,2024-09-11,4.02,1,204,71,VT-44006-V
2353221,Habitación centro doble con terraza  valencia,2423092,Maria Luisa,L'EIXAMPLE,RUSSAFA,39.46215,-0.37183,Private room,40,3,99,2024-09-15,0.77,2,359,20,
2360229,DOUBLE ROOM+WIFI+TERRACE,7463142,Silvia,L'OLIVERETA,NOU MOLES,39.47135,-0.40503,Private room,44,28,58,2023-12-16,0.45,1,180,2,
2364778,Lovely flat in ideal location Wifi,3454879,Vivien,L'EIXAMPLE,LA GRAN VIA,39.46807,-0.36511,Entire home/apt,96,15,277,2024-09-13,2.16,1,7,17,VT-37238-V
2375520,Central,2102653,Viviani,EXTRAMURS,ARRANCAPINS,39.46673,-0.38829,Private room,53,3,32,2024-09-05,0.25,1,35,5,
2424805,Central & spacious with Bali Style/Nice Terrace,12392664,Laura,QUATRE CARRERES,MONT-OLIVET,39.4601,-0.3665,Entire home/apt,114,7,140,2024-09-02,1.09,1,150,16,
2445550,Centric apartament terrace and wifi,6068973,Carlos,CIUTAT VELLA,SANT FRANCESC,39.47161,-0.37684,Entire home/apt,42,4,220,2019-09-25,1.72,1,0,0,VT-37898-V
2452337,Estudio para parejas con WIFI en la playa,8988014,Emilio Y Sara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46845,-0.33164,Entire home/apt,127,3,178,2024-06-14,1.43,7,41,4,VT-36803-V
2459637,Habitación céntrica con terraza Valencia-Ruzafa,2423092,Maria Luisa,L'EIXAMPLE,RUSSAFA,39.46215,-0.37286,Private room,38,3,136,2024-09-08,1.06,2,352,25,
2486462,APARTMENT IN HISTORIC CENTRE,12723722,Cristina,CIUTAT VELLA,LA SEU,39.47636,-0.37638,Entire home/apt,125,3,232,2024-08-26,1.81,1,219,32,
2488639,FERIA VALENCIA+wifi+garaje PGVT-1718-V,12737363,Toni,POBLATS DE L'OEST,BENIMAMET,39.50489,-0.42584,Entire home/apt,130,2,109,2024-08-24,0.85,1,47,15,PGVT-1718-V
2533554,Habitación en el Cabañal,12976069,Eva,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46385,-0.33058,Private room,31,3,265,2024-08-18,2.10,1,61,38,
2534892,Piso romantico Playa Cabanyal wifi,6383590,Sony,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46477,-0.33255,Entire home/apt,100,4,261,2024-08-20,2.04,1,19,7,VT-36594-V9
